shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco,country_name,x2019,edu,f_brit,f_french
GIN,1,0.1222222,0,6.545455,7.489971,6.180017,0,-3.146555,1,Guinea,2562.082921,2.6,0,1
GMB,1,0.1475556,0,8.272727,7.272398,7.293018,0,-3.036554,1,Gambia,2222.870122,3.5,1,0
GNB,1,0.1333333,0,4.545455,NA,5.103883,0,-3.244194,NA,Guinea-Bissau,1989.367141,3,0,0
GRC,0,0.4333333,0,7.818182,9.39765,NA,0,-0.7571525,NA,Greece,30465.44879,10.8,0,0
GTM,0,0.17,0,5.136364,8.294049,4.26268,0,-1.560648,1,Guatemala,8637.464165,6.5,0,0
GUY,0,0.0555556,0,5.886364,7.904704,3.471345,0,-2.253795,1,Guyana,13082.35304,8.4,1,0
HKG,0,0.2461111,0,8.136364,10.04975,2.701361,1,-0.4975804,1,Hong Kong,59847.55428,12,1,0
HND,0,0.1666667,0,5.318182,7.68708,4.35799,0,-2.040221,1,Honduras,5727.973572,6.5,0,0
HRV,0,0.5011111,0,NA,8.418477,NA,0,NA,NA,Croatia,28829.35553,11.3,0,0
HTI,0,0.2111111,0,3.727273,7.146772,4.867535,0,-2.864704,1,Haiti,2905.439081,5.3,0,1
HUN,0,0.5222222,0,9,8.809863,NA,0,-1.180907,NA,Hungary,32643.49054,11.9,0,0
IDN,0,0.0556,0,7.590909,8.070906,5.135798,1,-2.207275,1,Indonesia,11812.19764,8,0,0
IND,0,0.2222,0,8.272727,7.326,3.884241,1,-2.453408,1,India,6700.062225,6.4,1,0
IRL,0,0.5888889,0,9.727273,9.769384,NA,0,-0.549913,NA,Ireland,86696.23908,12.5,1,0
IRN,0,0.3555556,0,4.772727,8.605204,NA,1,-1.22078,NA,Iran,12389.22159,9.8,0,0
IRQ,0,0.3666667,0,1.636364,NA,NA,1,NA,NA,Iraq,10881.17209,6.8,1,0
ISL,0,0.7222222,0,9.727273,9.943669,NA,0,-0.3147107,NA,Iceland,55584.097,12.4,0,0
ISR,0,0.3477778,0,8.545455,9.784141,NA,1,-0.4170318,NA,Israel,40203.3957,13,1,0
ITA,0,0.4722222,0,9.454545,9.897972,NA,0,-0.1815219,NA,Italy,42419.72083,10.2,0,0
JAM,0,0.2016667,0,7.090909,8.188689,4.867535,0,-2.040221,1,Jamaica,9761.498522,9.8,1,0
JOR,0,0.3444445,0,6.772727,8.171882,NA,1,-0.87707,NA,Jordan,10071.38287,10.4,1,0
JPN,0,0.4,0,9.727273,10.03408,NA,1,-0.5327305,NA,Japan,41667.1791,12.8,0,0
KAZ,0,0.5333334,0,NA,8.131531,NA,1,NA,NA,Kazakhstan,26351.43864,11.8,0,0
KEN,1,0.0111111,0,6.045455,7.056175,4.976734,0,-2.882404,1,Kenya,4329.87139,6.5,1,0
KGZ,0,0.4555556,0,NA,7.575585,NA,1,NA,NA,Kyrgyzstan,5253.097478,10.9,0,0
KOR,0,0.4111111,0,8.636364,9.415728,4.770685,1,-0.967584,NA,South Korea,42878.8173,12.1,0,0
KWT,0,0.3255555,0,7.045455,9.803667,NA,1,NA,NA,Kuwait,49853.57645,7.3,1,0
LAO,0,0.2,0,NA,7.090077,4.941642,1,NA,NA,Laos,7826.388595,5.2,0,1
LBR,1,0.07,0,3.636364,NA,6.180017,0,NA,NA,Liberia,1427.81909,4.7,0,0
LBY,1,0.2777778,0,5.272727,NA,NA,0,NA,NA,Libya,15174.16475,7.3,0,0
LKA,0,0.0777778,0,6.045455,7.731931,4.245634,1,-1.86433,1,Sri Lanka,13078.09812,10.9,1,0
LSO,1,0.3255555,0,NA,7.306531,NA,0,-2.764621,NA,Lesotho,2704.415261,6.3,1,0
LTU,0,0.6222222,0,NA,8.237479,NA,0,NA,NA,Lithuania,37278.30334,13,0,0
LUX,0,0.5494444,0,10,10.28875,NA,0,-0.0140989,NA,Luxembourg,114323.4054,12.1,0,0
LVA,0,0.6333333,0,NA,8.154788,NA,0,NA,NA,Latvia,30982.17473,12.8,0,0
MAR,1,0.3555556,0,7.090909,8.042378,4.35927,0,-1.676647,1,Morocco,7514.720881,5.5,0,1
MDA,0,0.5222222,0,NA,7.377759,NA,0,NA,NA,Moldova,13049.51232,11.6,0,0
MDG,1,0.2222222,0,4.454545,6.835185,6.284209,0,-3.194183,1,Madagascar,1647.02116,6.1,0,1
MEX,0,0.2555556,0,7.5,8.943768,4.26268,0,-0.8370175,1,Mexico,19765.91608,8.6,0,0
MKD,0,0.4611111,0,NA,8.061487,NA,0,NA,NA,North Macedonia,16660.45011,9.6,0,0
MLI,1,0.1888889,0,4,6.565265,7.986165,0,-3.352407,1,Mali,2321.594445,2.3,0,1
MLT,0,0.3944444,0,7.227273,9.427063,2.791165,0,-0.7700282,1,Malta,43707.54016,11.3,1,0
MMR,0,0.2444444,0,5.772727,NA,3.543854,1,-3.540459,NA,Myanmar,5142.154166,4.9,1,0
MNG,0,0.5111111,0,7.363636,7.299798,NA,1,NA,NA,Mongolia,12316.78755,10.1,0,0
MOZ,1,0.2016667,0,6.5,6.461468,NA,0,-3.244194,NA,Mozambique,1281.391836,3.5,0,0
MRT,1,0.2222222,0,NA,7.414573,5.634789,0,-2.995732,NA,Mauritania,5197.074547,4.5,0,1
MUS,1,0.2241111,0,NA,9.053686,3.417727,0,-1.339411,NA,Mauritius,22870.28625,9.3,1,0
MWI,1,0.1477778,0,6.818182,6.461468,NA,0,-3.506558,NA,Malawi,1059.72349,4.5,1,0
MYS,0,0.0255556,0,7.954545,8.894258,2.873565,1,-1.320507,1,Malaysia,28364.48697,10.2,1,0
NAM,1,0.2444444,0,NA,8.515191,NA,0,-1.639897,NA,Namibia,9637.180351,6.8,1,0
NER,1,0.1777778,0,5,6.733402,5.991465,0,-3.540459,1,Niger,1224.510472,2,0,1
NGA,1,0.1111111,0,5.545455,6.813445,7.602901,0,-3.036554,1,Nigeria,5135.499571,6.2,1,0
NIC,0,0.1444445,0,5.227273,7.544332,5.095589,0,-2.071473,1,Nicaragua,5407.1207,6.7,0,0
NLD,0,0.5811111,0,10,9.896966,NA,0,-0.2156715,NA,Netherlands,56849.37691,12.2,0,0
NOR,0,0.6888889,0,9.954545,10.02393,NA,0,-0.2757535,NA,Norway,64962.26227,12.6,0,0
NPL,0,0.3111111,0,NA,6.937314,NA,1,NA,NA,Nepal,3416.791282,4.9,1,0
NZL,0,0.4555556,1,9.727273,9.756147,2.145931,0,-0.3326794,1,New Zealand,43695.15099,12.5,1,0
OMN,0,0.2333333,0,7.136364,9.208339,NA,1,-0.8580219,NA,Oman,27299.40834,9.5,0,0
PAK,0,0.3333333,0,6.045455,7.352441,3.610648,1,-2.055725,1,Pakistan,4690.484755,5.2,1,0
PAN,0,0.1,0,5.909091,8.836374,5.095589,0,-1.500584,1,Panama,31458.69263,10.2,0,0
PER,0,0.1111111,0,5.772727,8.396154,4.26268,0,-1.439695,1,Peru,12847.88521,9.2,0,0
PHL,0,0.1444445,0,5.454545,8.098643,NA,1,-2.071473,NA,Philippines,8908.175977,9.3,0,0
PNG,0,0.0666667,0,7.272727,NA,5.135798,1,-2.551046,NA,Papua New Guinea,4354.85061,4.6,1,0
POL,0,0.5777778,0,7.681818,8.655214,NA,0,-1.435485,NA,Poland,33221.54154,12.3,0,0
PRK,0,0.4444444,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
