shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco
"MLI",1,.1888889,0,4,6.565265,7.986165,0,-3.352407,1
"MLT",0,.3944444,0,7.227273,9.427063,2.791165,0,-.7700282,1
"MMR",0,.2444444,0,5.772727,,3.543854,1,-3.540459,
"MNG",0,.5111111,0,7.363636,7.299798,,1,,
"MOZ",1,.2016667,0,6.5,6.461468,,0,-3.244194,
"MRT",1,.2222222,0,,7.414573,5.634789,0,-2.995732,
"MUS",1,.2241111,0,,9.053686,3.417727,0,-1.339411,
"MWI",1,.1477778,0,6.818182,6.461468,,0,-3.506558,
"MYS",0,.0255556,0,7.954545,8.894258,2.873565,1,-1.320507,1
"NAM",1,.2444444,0,,8.515191,,0,-1.639897,
"NER",1,.1777778,0,5,6.733402,5.991465,0,-3.540459,1
"NGA",1,.1111111,0,5.545455,6.813445,7.602901,0,-3.036554,1
"NIC",0,.1444445,0,5.227273,7.544332,5.095589,0,-2.071473,1
"NLD",0,.5811111,0,10,9.896966,,0,-.2156715,
"NOR",0,.6888889,0,9.954545,10.02393,,0,-.2757535,
"NPL",0,.3111111,0,,6.937314,,1,,
"NZL",0,.4555556,1,9.727273,9.756147,2.145931,0,-.3326794,1
"OMN",0,.2333333,0,7.136364,9.208339,,1,-.8580219,
"PAK",0,.3333333,0,6.045455,7.352441,3.610648,1,-2.055725,1
"PAN",0,.1,0,5.909091,8.836374,5.095589,0,-1.500584,1
"PER",0,.1111111,0,5.772727,8.396154,4.26268,0,-1.439695,1
"PHL",0,.1444445,0,5.454545,8.098643,,1,-2.071473,
"PNG",0,.0666667,0,7.272727,,5.135798,1,-2.551046,
"POL",0,.5777778,0,7.681818,8.655214,,0,-1.435485,
"PRK",0,.4444444,0,,,,0,,
"PRT",0,.4366667,0,9.181818,9.489486,,0,-1.005122,
"PRY",0,.2555556,0,6.954545,8.207947,4.35799,0,-1.771957,1
"QAT",0,.2811111,0,7.727273,9.685331,,1,,
"ROM",0,.5111111,0,7.272727,8.387085,,0,-2.180367,
"RUS",0,.6666667,0,8.454545,8.405144,,0,-.8746691,
"RWA",1,.0222222,0,,6.476973,5.634789,0,-3.146555,
"SAU",0,.2777778,0,7.590909,9.2399,,1,-.638659,
"SDN",1,.1666667,0,4,7.306531,4.479607,0,-2.703063,1
"SEN",1,.1555556,0,6,7.402452,5.103883,0,-2.631089,1
"SGP",0,.0135556,0,9.318182,10.14643,2.873565,1,-.5008753,1
"SLE",1,.0922222,0,5.818182,6.253829,6.180017,0,-2.748872,1
"SLV",0,.15,0,5,7.948032,4.35799,0,-1.851509,1
"SOM",1,.1111111,0,3,,,0,-3.015935,
"STP",0,.0111111,0,8.409091,,,0,,
"SUR",0,.0444444,0,4.681818,8.01,3.471345,0,-1.370421,
"SVK",0,.5377778,0,,8.852236,,0,,
"SVN",0,.5111111,0,,9.300181,,0,,
"SWE",0,.6888889,0,9.5,9.866304,,0,-.239527,
"SWZ",1,.2922222,0,,8.10772,,0,-1.807889,
"SYR",0,.3888889,0,5.818182,8.029433,,1,-.8255364,
"TCD",1,.1666667,0,,6.835185,5.634789,0,-3.442019,
"TGO",1,.0888889,0,6.909091,7.222566,6.504288,0,-3.218876,1
"THA",0,.1666667,0,7.636364,8.774931,4.941642,1,-1.851509,
"TJK",0,.4333333,0,,6.887553,,1,,
"TKM",0,.4444444,0,,7.640123,,1,,
"TTO",0,.1222222,0,7.454545,8.76873,4.442651,0,-.6971552,1
"TUN",1,.3777778,0,6.454545,8.482602,4.143135,0,-1.527858,1
"TUR",0,.4333333,0,7.454545,8.641179,,1,-1.52326,
"TWN",0,,0,9.227273,,,1,-.809681,
"TZA",1,.0666667,0,6.636364,6.253829,5.634789,0,-3.442019,1
"UGA",1,.0111111,0,4.454545,6.966024,5.634789,0,-3.442019,1
"UKR",0,.5444444,0,,7.811974,,0,,
"URY",0,.3666667,0,7,9.031214,4.26268,0,-1.07881,1
"USA",0,.4222222,1,10,10.21574,2.70805,0,0,1
"UZB",0,.4555556,0,,7.807917,,1,,
"VEN",0,.0888889,0,7.136364,9.071078,4.35799,0,-.7031975,1
"VNM",0,.1777778,0,6.409091,7.279319,4.941642,1,,1
"YEM",0,.1666667,0,6.363636,6.64639,,1,-1.551169,
"YUG",0,.4888889,0,6.318182,,,0,-1.203973,
"ZAF",1,.3222222,0,6.863636,8.885994,2.74084,0,-1.386294,1
"ZAR",1,0,0,3.5,6.866933,5.480639,0,-3.411248,1
"ZMB",1,.1666667,0,6.636364,6.813445,,0,-2.97593,
"ZWE",1,.2222222,0,6,7.696213,,0,-2.733368,
